2023-02-02 15:44:20,608 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-02 15:44:20,694 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-02 15:44:20,694 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-02 15:44:20,696 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:44:23,454 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-02 15:44:24,903 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-02 15:44:24,940 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 15:44:24,942 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 15:44:24,943 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-02 15:45:06,515 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-02 15:45:06,516 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-02 15:45:06,516 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:45:09,161 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-02 15:48:18,245 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-02 15:51:41,130 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:51:43,606 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-02 15:51:50,898 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-02 15:52:01,462 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:52:04,076 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-02 16:22:16,211 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-02 16:22:50,109 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 16:22:52,568 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-02 16:24:22,448 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-02 16:24:47,359 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 16:24:50,068 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-02 16:26:32,636 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2023-02-02 16:27:20,548 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2023-02-02 16:32:15,666 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-02 16:33:19,476 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 16:33:22,004 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-02 16:57:22,918 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-02 16:57:40,985 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 16:57:40,989 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 16:57:40,990 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-04 20:55:52,892 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-04 20:55:52,892 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-04 20:55:52,893 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-04 20:55:56,561 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
